CMDLINE python EyeTracking.py
MEM 126.632812 1452278493.8640
MEM 126.632812 1452278493.9735
MEM 126.632812 1452278494.0835
MEM 126.632812 1452278494.1948
MEM 126.632812 1452278494.3102
MEM 126.632812 1452278494.4207
MEM 126.632812 1452278494.5330
MEM 126.632812 1452278494.6424
MEM 126.632812 1452278494.7520
MEM 126.632812 1452278494.8635
MEM 126.632812 1452278494.9730
MEM 126.632812 1452278495.0831
MEM 126.632812 1452278495.1945
MEM 126.667969 1452278495.3052
MEM 126.675781 1452278495.4163
MEM 126.996094 1452278495.5314
MEM 126.996094 1452278495.6412
MEM 126.996094 1452278495.7518
MEM 126.996094 1452278495.8625
MEM 126.996094 1452278495.9736
MEM 126.996094 1452278496.0845
MEM 126.996094 1452278496.2026
MEM 126.996094 1452278496.3126
MEM 126.996094 1452278496.4309
MEM 126.996094 1452278496.5417
MEM 126.996094 1452278496.6517
MEM 126.996094 1452278496.7623
MEM 127.292969 1452278496.8725
MEM 127.292969 1452278496.9841
MEM 127.292969 1452278497.0940
MEM 127.292969 1452278497.2052
MEM 127.308594 1452278497.3154
MEM 127.414062 1452278497.4257
MEM 127.445312 1452278497.5361
MEM 127.781250 1452278497.6540
MEM 127.781250 1452278497.7636
MEM 127.781250 1452278497.8735
MEM 127.781250 1452278497.9835
MEM 127.781250 1452278498.0944
MEM 127.781250 1452278498.2048
MEM 127.781250 1452278498.3147
MEM 127.781250 1452278498.4280
MEM 127.785156 1452278498.5390
MEM 127.785156 1452278498.6491
MEM 127.785156 1452278498.7588
MEM 128.078125 1452278498.8702
MEM 128.078125 1452278498.9800
MEM 128.078125 1452278499.0901
MEM 128.078125 1452278499.1997
MEM 128.382812 1452278499.3093
MEM 128.382812 1452278499.4202
MEM 128.394531 1452278499.5367
MEM 128.437500 1452278499.6476
MEM 128.441406 1452278499.7576
MEM 128.480469 1452278499.8673
MEM 128.480469 1452278499.9767
MEM 128.480469 1452278500.0874
MEM 128.480469 1452278500.1970
MEM 128.480469 1452278500.3117
MEM 128.480469 1452278500.4227
MEM 128.480469 1452278500.5332
MEM 128.480469 1452278500.6425
MEM 128.480469 1452278500.7535
MEM 128.832031 1452278500.8702
MEM 128.832031 1452278500.9808
MEM 129.421875 1452278501.0919
MEM 129.421875 1452278501.2019
MEM 129.421875 1452278501.3133
MEM 129.421875 1452278501.4241
MEM 129.421875 1452278501.5438
MEM 129.437500 1452278501.6541
MEM 129.437500 1452278501.7644
MEM 129.472656 1452278501.8740
MEM 129.480469 1452278501.9845
MEM 129.511719 1452278502.0945
MEM 129.511719 1452278502.2055
MEM 129.511719 1452278502.3191
MEM 129.511719 1452278502.4291
MEM 129.511719 1452278502.5428
MEM 129.511719 1452278502.6541
MEM 130.160156 1452278502.7638
MEM 130.160156 1452278502.8800
MEM 130.160156 1452278502.9895
MEM 130.160156 1452278503.1041
MEM 130.160156 1452278503.2145
MEM 130.160156 1452278503.3248
MEM 130.160156 1452278503.4341
MEM 130.160156 1452278503.5508
MEM 130.160156 1452278503.6618
MEM 130.160156 1452278503.7761
MEM 130.175781 1452278503.8867
MEM 130.187500 1452278503.9969
MEM 130.222656 1452278504.1075
MEM 130.257812 1452278504.2181
MEM 130.257812 1452278504.3353
MEM 130.257812 1452278504.4451
MEM 130.257812 1452278504.5558
MEM 130.257812 1452278504.6655
MEM 130.257812 1452278504.7754
MEM 130.257812 1452278504.8869
MEM 130.257812 1452278505.0033
MEM 130.257812 1452278505.1136
MEM 130.917969 1452278505.2294
MEM 130.917969 1452278505.3412
MEM 130.917969 1452278505.4521
MEM 130.917969 1452278505.5625
MEM 130.917969 1452278505.6739
MEM 131.210938 1452278505.7889
MEM 131.210938 1452278505.8996
MEM 131.210938 1452278506.0114
MEM 131.226562 1452278506.1221
MEM 131.265625 1452278506.2330
MEM 131.292969 1452278506.3451
MEM 131.292969 1452278506.4547
MEM 131.292969 1452278506.5651
MEM 131.292969 1452278506.6754
MEM 131.292969 1452278506.7859
MEM 131.292969 1452278506.8968
MEM 131.585938 1452278507.0088
MEM 131.585938 1452278507.1189
MEM 132.171875 1452278507.2296
MEM 132.171875 1452278507.3407
MEM 132.171875 1452278507.4505
MEM 132.171875 1452278507.5610
MEM 132.171875 1452278507.6714
MEM 132.171875 1452278507.7860
MEM 132.171875 1452278507.8968
MEM 132.171875 1452278508.0066
MEM 132.171875 1452278508.1172
MEM 132.195312 1452278508.2294
MEM 132.207031 1452278508.3392
MEM 132.238281 1452278508.4488
MEM 132.246094 1452278508.5589
MEM 132.281250 1452278508.6693
MEM 132.281250 1452278508.7852
MEM 132.281250 1452278508.8963
MEM 132.281250 1452278509.0090
MEM 132.281250 1452278509.1193
MEM 132.281250 1452278509.2300
MEM 132.281250 1452278509.3409
MEM 132.281250 1452278509.4508
MEM 132.281250 1452278509.5629
MEM 132.281250 1452278509.6752
MEM 132.281250 1452278509.7856
MEM 132.378906 1452278509.8959
MEM 132.378906 1452278510.0070
MEM 132.378906 1452278510.1161
MEM 132.378906 1452278510.2277
MEM 132.378906 1452278510.3379
MEM 132.378906 1452278510.4484
MEM 132.378906 1452278510.5622
MEM 132.964844 1452278510.6734
MEM 133.257812 1452278510.7850
MEM 133.257812 1452278510.9010
MEM 133.257812 1452278511.0107
MEM 133.257812 1452278511.1202
MEM 133.257812 1452278511.2305
MEM 133.257812 1452278511.3408
MEM 133.257812 1452278511.4516
MEM 133.257812 1452278511.5629
MEM 133.257812 1452278511.6728
MEM 133.257812 1452278511.7839
MEM 133.843750 1452278511.8932
MEM 133.843750 1452278512.0032
MEM 133.843750 1452278512.1191
MEM 133.843750 1452278512.2291
MEM 133.843750 1452278512.3411
MEM 134.722656 1452278512.4568
MEM 134.722656 1452278512.5707
MEM 134.722656 1452278512.6811
MEM 134.722656 1452278512.7903
MEM 134.722656 1452278512.9005
MEM 134.722656 1452278513.0104
MEM 134.722656 1452278513.1208
MEM 134.722656 1452278513.2304
MEM 134.722656 1452278513.3410
MEM 134.722656 1452278513.4537
MEM 134.722656 1452278513.5699
MEM 134.722656 1452278513.6876
MEM 134.722656 1452278513.8048
MEM 134.722656 1452278513.9192
